Name,Group,PCI,GDP per capita,Log GDP per capita
Albania,Developed economies,43.5455,6396.462,3.805939824
Andorra,Developed economies,57.5119,42066.042,4.623931651
Australia,Developed economies,69.7448,66915.859,4.825529057
Austria,Developed economies,63.8465,53840.393,4.731108221
Belgium,Developed economies,62.6188,51165.51,4.708977307
Bermuda,Developed economies,52.1331,112652.646,5.051741397
Bosnia and Herzegovina,Developed economies,42.1408,7143.284,3.853897917
Bulgaria,Developed economies,51.5872,12207.258,4.086618123
Belarus,Developed economies,48.4013,7121.005,3.852541291
Canada,Developed economies,66.6296,52112.061,4.71693825
Croatia,Developed economies,53.6045,16983.447,4.23002584
Cyprus,Developed economies,54.1852,31571.264,4.49929197
Czechia,Developed economies,59.6578,26808.54,4.428273163
Denmark,Developed economies,70.5415,68036.717,4.832743349
Estonia,Developed economies,57.1672,27990.621,4.447012534
Finland,Developed economies,62.5045,53703.453,4.730002211
France,Developed economies,62.6841,44333.613,4.646733126
Germany,Developed economies,65.4671,51073.118,4.708192372
Greece,Developed economies,54.8411,20571.218,4.313260007
Hungary,Developed economies,59.1301,18728.324,4.272498914
Iceland,Developed economies,64.4528,69133.134,4.839686245
Ireland,Developed economies,62.5055,101108.989,5.004789768
Israel,Developed economies,62.7176,54111.021,4.733285729
Italy,Developed economies,55.3764,35578.851,4.551191919
Japan,Developed economies,57.2421,39649.928,4.598242403
"Korea, Republic of",Developed economies,62.277,34940.411,4.543328009
Latvia,Developed economies,58.3326,21267.462,4.327715665
Lithuania,Developed economies,53.7935,23844.126,4.377381408
Luxembourg,Developed economies,63.5936,133745.402,5.12627886
Malta,Developed economies,60.645,33641.596,4.526876591
Montenegro,Developed economies,44.1934,9252.312,3.966250269
Netherlands (Kingdom of the),Developed economies,68.8265,57871.349,4.762463606
New Zealand,Developed economies,67.2433,48823.508,4.688628981
Norway,Developed economies,65.9969,89241.714,4.950567903
Poland,Developed economies,58.4161,17736.42,4.248865964
Portugal,Developed economies,60.2551,24651.176,4.391837642
Romania,Developed economies,52.4789,14697.754,4.167250974
Russian Federation,Developed economies,51.9773,12258.772,4.088446968
San Marino,Developed economies,57.7311,50425.102,4.702646785
Serbia,Developed economies,54.6214,8090.412,3.907970638
Slovakia,Developed economies,50.4835,21390.453,4.330219982
Slovenia,Developed economies,53.0612,29134.8,4.464412041
Spain,Developed economies,60.1675,30058.387,4.477965672
Sweden,Developed economies,65.3509,60729.713,4.783401229
"Switzerland, Liechtenstein",Developed economies,63.6746,93864.022,4.972499159
Ukraine,Developed economies,49.4152,4596.349,3.662412997
United States of America,Developed economies,69.6805,68815.481,4.83768615
United Kingdom,Developed economies,65.6645,46364.69,4.66618736
Afghanistan,LDCs,26.9995,372.549,2.571183402
Angola,LDCs,29.1712,2044.218,3.310527208
Bangladesh,LDCs,40.1052,2449.907,3.389149599
Bhutan,LDCs,46.7884,3062.915,3.486134945
Solomon Islands,LDCs,38.0006,2305.981,3.362855725
Myanmar,LDCs,31.454,1088.925,3.036997969
Burundi,LDCs,24.4293,310.707,2.492351038
Cambodia,LDCs,36.3725,1607.659,3.206193936
Central African Republic,LDCs,23.9631,461.361,2.66404088
Chad,LDCs,19.1288,955.17,2.980080674
Comoros,LDCs,36.6493,1631.485,3.212583085
"Congo, Dem. Rep. of the",LDCs,21.6761,551.128,2.741252476
Benin,LDCs,27.507,1360.911,3.133829724
Ethiopia,LDCs,30.0623,825.291,2.916607109
Eritrea,LDCs,23.6842,622.982,2.794475499
Djibouti,LDCs,42.7035,3348.013,3.524787136
Gambia,LDCs,33.7807,772.151,2.887702238
Kiribati,LDCs,43.9844,1764.934,3.24672847
Guinea,LDCs,31.5515,1185.059,3.073739973
Haiti,LDCs,24.8584,1663.562,3.221038991
Lao People's Dem. Rep.,LDCs,37.8113,2568.924,3.409751256
Lesotho,LDCs,40.8986,1040.309,3.017162356
Liberia,LDCs,30.9051,470.767,2.672806012
Madagascar,LDCs,28.7668,499.722,2.698728469
Malawi,LDCs,18.9665,613.341,2.787701997
Mali,LDCs,21.4142,874.552,2.941785637
Mauritania,LDCs,36.1013,2166.045,3.335667475
Mozambique,LDCs,29.1121,491.839,2.691822963
Nepal,LDCs,40.1991,1205.5,3.081167215
Niger,LDCs,16.51,590.629,2.771314767
Guinea-Bissau,LDCs,25.2677,758.552,2.879985358
Timor-Leste,LDCs,46.5967,1517.224,3.181049704
Rwanda,LDCs,36.3071,822.316,2.915038741
Sao Tome and Principe,LDCs,43.3356,2485.818,3.395469328
Senegal,LDCs,38.5054,1636.88,3.214016842
Sierra Leone,LDCs,19.812,504.621,2.70296532
Somalia,LDCs,21.6212,446.998,2.65030558
South Sudan,LDCs,23.4903,400.443,2.602540706
Sudan,LDCs,25.9386,785.577,2.89518876
Togo,LDCs,36.0904,943.939,2.97494393
Tuvalu,LDCs,55.7926,5370.419,3.730008171
Uganda,LDCs,21.305,930.372,2.968656632
"Tanzania, United Republic of",LDCs,31.7784,1138.217,3.056225068
Burkina Faso,LDCs,24.1059,893.077,2.950888905
Yemen,LDCs,23.742,301.586,2.479411177
Zambia,LDCs,32.3976,1094.502,3.039216559
