Name,Group,PCI,Merchandise Export Concentration Index
Albania,Developed economies,43.5455,0.218374
Andorra,Developed economies,57.5119,0.17625
Australia,Developed economies,69.7448,0.348861
Austria,Developed economies,63.8465,0.064345
Belgium,Developed economies,62.6188,0.125996
Bermuda,Developed economies,52.1331,0.651384
Bosnia and Herzegovina,Developed economies,42.1408,0.108439
Bulgaria,Developed economies,51.5872,0.082422
Belarus,Developed economies,48.4013,0.092887
Canada,Developed economies,66.6296,0.146654
Croatia,Developed economies,53.6045,0.065986
Cyprus,Developed economies,54.1852,0.346234
Czechia,Developed economies,59.6578,0.11611
Denmark,Developed economies,70.5415,0.076949
Estonia,Developed economies,57.1672,0.104251
Finland,Developed economies,62.5045,0.129331
France,Developed economies,62.6841,0.068479
Germany,Developed economies,65.4671,0.083371
Greece,Developed economies,54.8411,0.232692
Hungary,Developed economies,59.1301,0.100418
Iceland,Developed economies,64.4528,0.47987
Ireland,Developed economies,62.5055,0.304693
Israel,Developed economies,62.7176,0.154671
Italy,Developed economies,55.3764,0.052848
Japan,Developed economies,57.2421,0.129303
"Korea, Republic of",Developed economies,62.277,0.177605
Latvia,Developed economies,58.3326,0.084517
Lithuania,Developed economies,53.7935,0.088456
Luxembourg,Developed economies,63.5936,0.108515
Malta,Developed economies,60.645,0.252392
Montenegro,Developed economies,44.1934,0.217945
Netherlands (Kingdom of the),Developed economies,68.8265,0.076987
New Zealand,Developed economies,67.2433,0.20008
Norway,Developed economies,65.9969,0.402711
Poland,Developed economies,58.4161,0.062181
Portugal,Developed economies,60.2551,0.068264
Romania,Developed economies,52.4789,0.098499
Russian Federation,Developed economies,51.9773,0.294667
Serbia,Developed economies,54.6214,0.076468
Slovakia,Developed economies,50.4835,0.231576
Slovenia,Developed economies,53.0612,0.207845
Spain,Developed economies,60.1675,0.088771
Sweden,Developed economies,65.3509,0.087971
"Switzerland, Liechtenstein",Developed economies,63.6746,0.271156
Ukraine,Developed economies,49.4152,0.166686
United States of America,Developed economies,69.6805,0.083255
United Kingdom,Developed economies,65.6645,0.114104
Afghanistan,LDCs,26.9995,0.367291
Angola,LDCs,29.1712,0.848782
Bangladesh,LDCs,40.1052,0.391318
Bhutan,LDCs,46.7884,0.384627
Solomon Islands,LDCs,38.0006,0.589289
Myanmar,LDCs,31.454,0.225892
Burundi,LDCs,24.4293,0.521429
Cambodia,LDCs,36.3725,0.213758
Central African Republic,LDCs,23.9631,0.408641
Chad,LDCs,19.1288,0.870193
Comoros,LDCs,36.6493,0.56546
"Congo, Dem. Rep. of the",LDCs,21.6761,0.545328
Benin,LDCs,27.507,0.437229
Ethiopia,LDCs,30.0623,0.445846
Eritrea,LDCs,23.6842,0.268761
Djibouti,LDCs,42.7035,0.130356
Gambia,LDCs,33.7807,0.245394
Kiribati,LDCs,43.9844,0.606512
Guinea,LDCs,31.5515,0.58819
Haiti,LDCs,24.8584,0.491255
Lao People's Dem. Rep.,LDCs,37.8113,0.304073
Lesotho,LDCs,40.8986,0.360603
Liberia,LDCs,30.9051,0.429726
Madagascar,LDCs,28.7668,0.335793
Malawi,LDCs,18.9665,0.442312
Mali,LDCs,21.4142,0.887337
Mauritania,LDCs,36.1013,0.472334
