Continent,Name,2018,2022
North America,Aruba,56.80,56.98
Asia,Afghanistan,30.04,25.79
Africa,Angola,30.42,29.24
Europe,Albania,44.33,43.78
Europe,Andorra,60.81,57.71
Asia,United Arab Emirates,63.86,63.47
South America,Argentina,50.13,48.00
Asia,Armenia,43.61,48.33
Oceania,Australia,70.48,69.81
Europe,Austria,63.06,64.02
Asia,Azerbaijan,45.46,45.31
Africa,Burundi,24.67,24.82
Europe,Belgium,62.94,62.86
Africa,Benin,27.08,27.63
Africa,Burkina Faso,25.89,23.87
Asia,Bangladesh,38.48,40.71
Europe,Bulgaria,53.63,51.96
Asia,Bahrain,59.50,60.72
North America,Bahamas,47.23,47.55
Europe,Bosnia and Herzegovina,42.08,42.39
Europe,Belarus,51.32,48.42
North America,Belize,47.45,48.97
North America,Bermuda,52.06,52.30
South America,Bolivia (Plurinational State of),44.58,43.99
South America,Brazil,49.33,48.56
North America,Barbados,53.92,55.66
Asia,Brunei Darussalam,57.05,51.03
Asia,Bhutan,48.79,46.68
Africa,Botswana,45.00,44.83
Africa,Central African Republic,24.36,24.46
North America,Canada,66.73,66.75
Europe,"Switzerland, Liechtenstein",63.58,63.97
South America,Chile,58.78,58.45
Asia,China,58.54,60.65
Africa,Côte d'Ivoire,35.62,37.34
Africa,Cameroon,29.30,26.77
Africa,"Congo, Dem. Rep. of the",21.98,21.80
Africa,Congo,30.05,28.47
South America,Colombia,49.12,47.52
Africa,Comoros,36.23,37.03
Africa,Cabo Verde,50.77,49.99
North America,Costa Rica,51.49,50.91
North America,Cuba,43.28,42.49
North America,Curaçao,56.25,55.90
North America,Cayman Islands,48.32,49.02
Europe,Cyprus,54.36,54.33
Europe,Czechia,61.17,59.40
Europe,Germany,66.44,65.79
Africa,Djibouti,42.96,43.10
North America,Dominica,52.62,52.20
Europe,Denmark,69.88,70.31
North America,Dominican Republic,39.77,41.36
Africa,Algeria,46.55,43.80
South America,Ecuador,46.18,44.67
Africa,Egypt,43.33,44.10
Africa,Eritrea,23.76,23.99
Europe,Spain,59.75,59.66
Europe,Estonia,56.38,57.28
Africa,Ethiopia,30.01,30.54
Europe,Finland,62.71,62.69
Oceania,Fiji,48.59,45.97
Europe,France,63.10,62.83
Africa,Gabon,34.32,33.97
Europe,United Kingdom,67.59,65.75
Asia,Georgia,49.87,45.77
Africa,Ghana,36.02,37.78
Africa,Guinea,30.17,31.76
Africa,Gambia,30.91,33.89
Africa,Guinea-Bissau,24.30,24.84
Africa,Equatorial Guinea,33.01,30.78
Europe,Greece,54.05,54.90
North America,Grenada,48.81,47.36
North America,Guatemala,37.62,34.51
Oceania,Guam,57.84,58.11
South America,Guyana,42.70,41.93
